total_bill,tip,sex,smoker,day,time,size,price_per_person,CC Number
16.99,1.01,Female,No,Sun,Dinner,2,8.49,3560325168603410
10.34,1.66,Male,No,Sun,Dinner,3,3.45,4478071379779230
21.01,3.5,Male,No,Sun,Dinner,3,7.0,6011812112971322
23.68,3.31,Male,No,Sun,Dinner,2,11.84,4676137647685994
24.59,3.61,Female,No,Sun,Dinner,4,6.15,4832732618637221
25.29,4.71,Male,No,Sun,Dinner,4,6.32,213140353657882
8.77,2.0,Male,No,Sun,Dinner,2,4.38,2223727524230344
26.88,3.12,Male,No,Sun,Dinner,4,6.72,3514785077705092
15.04,1.96,Male,No,Sun,Dinner,2,7.52,3522866365840377
14.78,3.23,Male,No,Sun,Dinner,2,7.39,3532124519049786
10.27,1.71,Male,No,Sun,Dinner,2,5.14,566287581219
35.26,5.0,Female,No,Sun,Dinner,4,8.82,4577817359320969
15.42,1.57,Male,No,Sun,Dinner,2,7.71,577040572932
18.43,3.0,Male,No,Sun,Dinner,4,4.61,6011163105616890
14.83,3.02,Female,No,Sun,Dinner,2,7.42,30016702287574
21.58,3.92,Male,No,Sun,Dinner,2,10.79,180073029785069
10.33,1.67,Female,No,Sun,Dinner,3,3.44,4240025044626033
16.29,3.71,Male,No,Sun,Dinner,3,5.43,6521340257218708
16.97,3.5,Female,No,Sun,Dinner,3,5.66,30422275171379
20.65,3.35,Male,No,Sat,Dinner,3,6.88,6568069240986485
17.92,4.08,Male,No,Sat,Dinner,2,8.96,4403296224639756
20.29,2.75,Female,No,Sat,Dinner,2,10.14,5448125351489749
15.77,2.23,Female,No,Sat,Dinner,2,7.88,3524119516293213
39.42,7.58,Male,No,Sat,Dinner,4,9.86,3542584061609808
19.82,3.18,Male,No,Sat,Dinner,2,9.91,36739148167928
17.81,2.34,Male,No,Sat,Dinner,4,4.45,30502930499388
13.37,2.0,Male,No,Sat,Dinner,2,6.68,6531339539615499
12.69,2.0,Male,No,Sat,Dinner,2,6.34,30155551880343
21.7,4.3,Male,No,Sat,Dinner,2,10.85,5529694315416009
19.65,3.0,Female,No,Sat,Dinner,2,9.82,5489272944576051
9.55,1.45,Male,No,Sat,Dinner,2,4.78,30196517521548
18.35,2.5,Male,No,Sat,Dinner,4,4.59,630415546013
15.06,3.0,Female,No,Sat,Dinner,2,7.53,213186304291560
20.69,2.45,Female,No,Sat,Dinner,4,5.17,377742985258914
17.78,3.27,Male,No,Sat,Dinner,2,8.89,3551492000704805
24.06,3.6,Male,No,Sat,Dinner,3,8.02,5519770449260299
16.31,2.0,Male,No,Sat,Dinner,3,5.44,3527691170179398
16.93,3.07,Female,No,Sat,Dinner,3,5.64,5161695527390786
18.69,2.31,Male,No,Sat,Dinner,3,6.23,4427601595688633
31.27,5.0,Male,No,Sat,Dinner,3,10.42,6011525851069856
16.04,2.24,Male,No,Sat,Dinner,3,5.35,3544447755679420
17.46,2.54,Male,No,Sun,Dinner,2,8.73,3536678244278149
13.94,3.06,Male,No,Sun,Dinner,2,6.97,36231182760859
9.68,1.32,Male,No,Sun,Dinner,2,4.84,4387671121369212
30.4,5.6,Male,No,Sun,Dinner,4,7.6,503846761263
18.29,3.0,Male,No,Sun,Dinner,2,9.14,375156610762053
22.23,5.0,Male,No,Sun,Dinner,2,11.12,4292072734899
32.4,6.0,Male,No,Sun,Dinner,4,8.1,3552002592874186
28.55,2.05,Male,No,Sun,Dinner,3,9.52,6011481668986587
18.04,3.0,Male,No,Sun,Dinner,2,9.02,6573923967142503
12.54,2.5,Male,No,Sun,Dinner,2,6.27,2225400829691416
10.29,2.6,Female,No,Sun,Dinner,2,5.14,4999759463713
34.81,5.2,Female,No,Sun,Dinner,4,8.7,4291280793094374
9.94,1.56,Male,No,Sun,Dinner,2,4.97,4628628020417301
25.56,4.34,Male,No,Sun,Dinner,4,6.39,6569607991983380
19.49,3.51,Male,No,Sun,Dinner,2,9.74,6502227786581768
38.01,3.0,Male,Yes,Sat,Dinner,4,9.5,349793629453226
26.41,1.5,Female,No,Sat,Dinner,2,13.2,4745394421258160
11.24,1.76,Male,Yes,Sat,Dinner,2,5.62,3560782621035582
48.27,6.73,Male,No,Sat,Dinner,4,12.07,6596453823950595
20.29,3.21,Male,Yes,Sat,Dinner,2,10.14,347614304015027
13.81,2.0,Male,Yes,Sat,Dinner,2,6.9,4766834726806
11.02,1.98,Male,Yes,Sat,Dinner,2,5.51,180046232326178
18.29,3.76,Male,Yes,Sat,Dinner,4,4.57,580171498976
17.59,2.64,Male,No,Sat,Dinner,3,5.86,2222114458088108
20.08,3.15,Male,No,Sat,Dinner,3,6.69,180021262464926
16.45,2.47,Female,No,Sat,Dinner,2,8.22,3569262692675583
3.07,1.0,Female,Yes,Sat,Dinner,1,3.07,4359488526995267
20.23,2.01,Male,No,Sat,Dinner,2,10.12,60406789937
15.01,2.09,Male,Yes,Sat,Dinner,2,7.5,4700924377057571
12.02,1.97,Male,No,Sat,Dinner,2,6.01,213139760497718
17.07,3.0,Female,No,Sat,Dinner,3,5.69,5442222963796367
26.86,3.14,Female,Yes,Sat,Dinner,2,13.43,4216245673726
25.28,5.0,Female,Yes,Sat,Dinner,2,12.64,5418689346409571
14.73,2.2,Female,No,Sat,Dinner,2,7.36,501828723483
10.51,1.25,Male,No,Sat,Dinner,2,5.26,213142079731108
17.92,3.08,Male,Yes,Sat,Dinner,2,8.96,676188485350
27.2,4.0,Male,No,Thur,Lunch,4,6.8,30344778738589
22.76,3.0,Male,No,Thur,Lunch,2,11.38,3591887177014031
17.29,2.71,Male,No,Thur,Lunch,2,8.64,4759290988169738
19.44,3.0,Male,Yes,Thur,Lunch,2,9.72,38848369968464
16.66,3.4,Male,No,Thur,Lunch,2,8.33,4550549048402707
10.07,1.83,Female,No,Thur,Lunch,1,10.07,630413282843
32.68,5.0,Male,Yes,Thur,Lunch,2,16.34,5356177501009133
15.98,2.03,Male,No,Thur,Lunch,2,7.99,4442984204923315
34.83,5.17,Female,No,Thur,Lunch,4,8.71,6011787464177340
13.03,2.0,Male,No,Thur,Lunch,2,6.52,213161022097557
18.28,4.0,Male,No,Thur,Lunch,2,9.14,5363745772301404
24.71,5.85,Male,No,Thur,Lunch,2,12.36,4410248629955
21.16,3.0,Male,No,Thur,Lunch,2,10.58,4356005144080422
28.97,3.0,Male,Yes,Fri,Dinner,2,14.48,3597456900644078
22.49,3.5,Male,No,Fri,Dinner,2,11.24,6011849326227398
5.75,1.0,Female,Yes,Fri,Dinner,2,2.88,3508911676966392
16.32,4.3,Female,Yes,Fri,Dinner,2,8.16,5181236182893396
22.75,3.25,Female,No,Fri,Dinner,2,11.38,676318332068
